iter	Passed	Remaining
0	1	1561
1	2	1005
2	2	823
3	3	748
4	3	696
5	3	641
6	4	606
7	4	575
8	5	556
9	5	533
10	5	523
11	6	515
12	6	492
13	6	489
14	7	485
15	7	477
16	8	474
17	8	469
18	8	462
19	9	456
20	9	457
21	10	452
22	10	447
23	11	448
24	11	450
25	11	446
26	12	440
27	12	440
28	13	440
29	13	436
30	13	435
31	14	434
32	14	435
33	15	435
34	15	433
35	16	430
36	16	428
37	16	425
38	17	424
39	17	421
40	18	424
41	18	423
42	18	421
43	19	418
44	19	416
45	20	415
46	20	413
47	20	411
48	21	409
49	21	407
50	21	405
51	22	403
52	22	402
53	22	401
54	23	400
55	23	398
56	24	398
57	24	396
58	25	399
59	25	398
60	26	400
61	26	400
62	26	400
63	27	398
64	27	397
65	28	398
66	28	396
67	28	395
68	29	395
69	29	394
70	30	393
71	30	393
72	30	392
73	31	392
74	31	391
75	32	391
76	32	390
77	32	389
78	33	392
79	34	392
80	34	391
81	34	391
82	35	389
83	35	389
84	36	387
85	36	387
86	36	386
87	37	385
88	37	385
89	38	385
90	38	385
91	39	385
92	39	384
93	39	383
94	40	383
95	40	382
96	41	381
97	41	380
98	41	379
99	42	379
100	42	378
101	42	377
102	43	376
103	43	375
104	43	374
105	44	373
106	44	372
107	45	372
108	45	371
109	45	371
110	46	371
111	46	371
112	47	370
113	47	369
114	47	368
115	48	366
116	48	366
117	48	365
118	49	364
119	49	363
120	50	364
121	50	364
122	51	364
123	51	363
124	51	362
125	52	361
126	52	360
127	52	360
128	53	359
129	53	358
130	53	358
131	54	357
132	54	357
133	55	356
134	55	355
135	55	354
136	56	354
137	56	353
138	56	352
139	57	351
140	57	351
141	58	350
142	58	350
143	58	349
144	59	349
145	59	348
146	59	347
147	60	347
148	60	346
149	60	345
150	61	344
151	61	344
152	62	345
153	62	344
154	63	344
155	63	344
156	64	343
157	64	342
158	64	342
159	65	342
160	65	341
161	66	342
162	66	342
163	67	342
164	67	342
165	68	341
166	68	341
167	68	341
168	69	341
169	69	340
170	70	340
171	70	340
172	71	339
173	71	339
174	71	338
175	72	338
176	72	337
177	73	337
178	73	337
179	74	337
180	74	336
181	75	338
182	75	337
183	76	337
184	76	336
185	76	336
186	77	335
187	77	335
188	77	334
189	78	333
190	78	333
191	79	332
192	79	332
193	79	331
194	80	332
195	80	331
196	81	331
197	81	331
198	82	330
199	82	330
200	82	329
201	83	328
202	83	328
203	84	327
204	84	327
205	84	326
206	85	326
207	85	325
208	86	325
209	86	324
210	86	324
211	87	326
212	88	326
213	88	325
214	89	325
215	89	324
216	89	324
217	90	323
218	90	323
219	90	322
220	91	321
221	91	321
222	92	320
223	92	320
224	93	320
225	93	320
226	93	319
227	94	319
228	94	318
229	95	318
230	95	318
231	95	317
232	96	317
233	96	316
234	97	316
235	97	316
236	98	316
237	98	315
238	99	315
239	99	315
240	100	315
241	101	316
242	101	317
243	102	318
244	103	318
245	103	318
